INTEGRATED_NAME,ADDRESS,TREES_KIND
전농로,"서울특별시 동대문구 전농동 135-24","산딸나무 은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 567-16","은행나무 "
한천로,"서울특별시 동대문구 장안동 108-3","양버즘나무 "
약령시로,"서울특별시 동대문구 제기동 892-167","은행나무 "
약령시로,"서울특별시 동대문구 제기동 182-44","은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 530-89","은행나무 "
답십리로,"서울특별시 동대문구 답십리동 236-20","이팝나무 "
회기로,"서울특별시 동대문구 회기동 105-16","은행나무 "
고산자로,"서울특별시 동대문구 제기동 667-1","양버즘나무 "
제기로17길,"서울특별시 동대문구 청량리동 203-32","이팝나무 은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 124-92","은행나무 "
황물로,"서울특별시 동대문구 답십리동 536","양버즘나무 은행나무 "
이문로,"서울특별시 동대문구 휘경동 321-20","은행나무 "
이문로,"서울특별시 동대문구 이문동 292-90","은행나무 "
한빛로,"서울특별시 동대문구 신설동 76-84","은행나무 "
망우로21길,"서울특별시 동대문구 휘경동 255-3","은행나무 "
고산자로,"서울특별시 동대문구 제기동 856","양버즘나무 은행나무 느티나무 "
답십리로,"서울특별시 동대문구 장안동 470-1","이팝나무 "
답십리로,"서울특별시 동대문구 장안동 470-2","이팝나무 "
제기로,"서울특별시 동대문구 청량리동 520-13","양버즘나무 은행나무 "
이문로,"서울특별시 동대문구 이문동 371-14","은행나무 "
서울시립대로,"서울특별시 동대문구 전농동 582-23","은행나무 "
천호대로,"서울특별시 동대문구 답십리동 495-4","양버즘나무 "
사가정로,"서울특별시 동대문구 장안동 469-2","이팝나무 "
제기로,"서울특별시 동대문구 제기동 137-276","양버즘나무 "
답십리로,"서울특별시 동대문구 답십리동 66-52","이팝나무 "
전농로,"서울특별시 동대문구 전농동 188-5","은행나무 "
회기로,"서울특별시 동대문구 청량리동 산 1-140","은행나무 "
한천로66길,"서울특별시 동대문구 이문동 209-16","은행나무 "
약령시로,"서울특별시 동대문구 제기동 149-16","은행나무 "
