INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,TREE_NAME,CONIFEROUS_DECIDUOUS,EVERGREEN_DECIDUOUS,SIZE_STRUCTURE,FLOWER_FRUIT,FLOWER,SEASON
한천로,"서울특별시 동대문구 이문동 105-1",0.043969435750392666,"양버즘나무 이팝나무 은행나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
한천로,"서울특별시 동대문구 이문동 105-1",0.043969435750392666,"양버즘나무 이팝나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
서울시립대로,"서울특별시 동대문구 전농동 124-19",0.015070999217401845,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
서울시립대로,"서울특별시 동대문구 전농동 582-24",0.015070999217401845,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
제기로17길,"서울특별시 동대문구 청량리동 205-375",0.0029835842628772665,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
왕산로,"서울특별시 동대문구 신설동 76-5",0.032634459895788274,"단풍나무 이팝나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
왕산로,"서울특별시 동대문구 신설동 76-5",0.032634459895788274,"단풍나무 이팝나무 은행나무 ",이팝나무,활엽수,낙엽수,교목,화목,봄,X
왕산로,"서울특별시 동대문구 신설동 76-5",0.032634459895788274,"단풍나무 이팝나무 은행나무 ",단풍나무,활엽수,낙엽수,교목,,봄,가을
안암로,"서울특별시 동대문구 제기동 142-19",0.016756015157060974,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
전농로,"서울특별시 동대문구 답십리동 51-3",0.01893440584438743,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
전농로,"서울특별시 동대문구 답십리동 51-3",0.01893440584438743,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
회기로,"서울특별시 동대문구 회기동 45-38",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 회기동 45-37",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 회기동 60-48",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 회기동 60-1",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 청량리동 산 1-135",0.021741305586761694,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
회기로,"서울특별시 동대문구 청량리동 산 1-135",0.021741305586761694,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
회기로,"서울특별시 동대문구 청량리동 산 4-2",0.021741305586761694,"은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
제기로,"서울특별시 동대문구 청량리동 34",0.016724124074013105,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
제기로,"서울특별시 동대문구 청량리동 34",0.016724124074013105,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
답십리로,"서울특별시 동대문구 답십리동 473-63",0.03436276900247712,"양버즘나무 은행나무 ",은행나무,침엽수,낙엽수,교목,,봄,가을
답십리로,"서울특별시 동대문구 답십리동 473-63",0.03436276900247712,"양버즘나무 은행나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
천호대로,"서울특별시 동대문구 용두동 39-559",0.050337358499340144,"양버즘나무 느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
천호대로,"서울특별시 동대문구 용두동 39-559",0.050337358499340144,"양버즘나무 느티나무 ",양버즘나무,활엽수,낙엽수,교목,,봄,X
천호대로,"서울특별시 동대문구 용두동 47-1",0.050337358499340144,"양버즘나무 단풍나무 이팝나무 산수유 느티나무 ",느티나무,활엽수,낙엽수,교목,,여름,X
